Código Producto Padre,Código Producto MP,Cantidad MP,Activo?,Detiene Explotación?,Código Ubicación,Código Presentación,Cantidad Presentación
CP0200014,MR0304006,0.08,SI,,,,
CP0200014,MR0305013,0.15,SI,,,,
CP0200014,MR0322004,0.04,SI,,,,
CP0200014,MR0302021,0.03,SI,,,,
CP0200014,MR0302003,0.04,SI,,,,
CP0200014,MR01250793,0.02,SI,,,,
CP0200014,MR0301012,0.14,SI,,,,
CP0200014,MR0301005,4.2,SI,,,,
CP0200014,MR0301021,0.02,SI,,,,
CP0200014,MR0522030,0.8,SI,,,,
CP0200014,MR1102009,0.08,SI,,,,
CP0200014,MR0702002,0.82,SI,,,,
CP0200016,MR0501047,3.7,SI,,,,
CP0200016,MR0522011,2.6,SI,,,,
CP0200016,MR0303002,2.6,SI,,,,
CP0200016,MR1102009,0.4,SI,,,,
PL01251201,MR0101003,3.5,SI,,,,
PL01251201,MR0522034,1,SI,,,,
PL01251201,PL20250866,,SI,,,OZ001,10
PL01251201,PL20260320,,SI,,,OZ001,4
PL01251204,MR0101003,4,SI,,,,
PL01251204,MR0501001,2,SI,,,,
PL01251204,MR0301003,1,SI,,,,
PL01251204,MR0401007,1,SI,,,,
PL01251204,MR0302015,2,SI,,,,
PL01251204,MR03251101,2,SI,,,,
PL01251204,MR04251101,1,SI,,,,
PL01251204,PL20250906,,SI,,,OZ001,2
PL01251204,PL20251204,,SI,,,OZ001,1
PL01251204,PL20260406,,SI,,,OZ001,2
PL01251205,MR0501005,1,SI,,,,
PL01251205,MR0501020,2,SI,,,,
PL01251205,MR0501001,2,SI,,,,
PL01251205,MR0301003,1,SI,,,,
PL01251205,MR0501036,2,SI,,,,
PL01251205,CP01251101,0.5,SI,,,,
PL01251205,MR03251101,2,SI,,,,
PL01251205,MR04251101,1,SI,,,,
PL01251205,PL20250319,,SI,,,OZ001,1
PL01251205,PL20260317,,SI,,,OZ001,1
PL01251205,PL20260406,,SI,,,OZ001,2
PL01251208,MR0501008,1,SI,,,,
PL01251208,MR0302044,0.01,SI,,,,
PL01251208,CP01251101,0.5,SI,,,,
PL01251208,MR04251101,1,SI,,,,
PL01251208,PL20250319,,SI,,,OZ001,1
PL01251208,PL20260303,,SI,,,OZ001,3
PL01251208,PL20260308,,SI,,,OZ001,0.5
PL01251208,PL20260304,,SI,,,OZ001,3
PL01251208,PL20260311,,SI,,,OZ001,8
PL01251208,PL20260324,,SI,,,OZ001,2
PL01251208,PL20260403,,SI,,,OZ001,2
PL01251210,MR0501008,0.18,SI,,,,
PL01251210,MR0502005,0.18,SI,,,,
PL01251210,MR0501020,0.8,SI,,,,
PL01251210,MR01251109,1,SI,,,,
PL01251210,PL20251202,,SI,,,OZ001,2
PL01251210,PL20251209,,SI,,,OZ001,5
PL01251210,PL20251211,,SI,,,OZ001,1.5
PL01251210,SUBR045238,,SI,,,PORCION,1
PL01251213,MR01251111,3,SI,,,,
PL01251213,PL20251213,,SI,,,OZ001,2.8
PL01251213,PL20251214,,SI,,,OZ001,1.2
PL01251213,PL20260303,,SI,,,OZ001,0.8
PL01251213,PL20260308,,SI,,,OZ001,0.5
PL01251213,SUBR045238,,SI,,,PORCION,0.999
PL01251214,CP0104006,1,SI,,,,
PL01251214,PL20251215,,SI,,,OZ001,2
PL01251214,SUBR045238,,SI,,,PORCION,2
PL01251216,MR0704004,3,SI,,,,
PL01251216,CP0200010,,SI,,,OZ001,3
PL01251216,PL20260328,,SI,,,PORCION,1
PL01251216,SUBR045238,,SI,,,PORCION,1
PL01260117,MR0401007,0.18,SI,,,,
PL01260117,MR0502004,0.18,SI,,,,
PL01260117,MR0704004,0.18,SI,,,,
PL01260117,MR01250905,1,SI,,,,
PL01260117,CP01260101,1,SI,,,,
PL01260117,PL20260313,,SI,,,OZ001,0.07
PL01260117,PL20260400,,SI,,,OZ001,0.18
PL01260117,PL20260404,,SI,,,OZ001,0.07
PL01260117,SUBR045238,,SI,,,PORCION,1
PL01260118,CP0104006,1,SI,,,,
PL01260118,PL20260322,,SI,,,OZ001,3
PL01260119,MR0202004,1,SI,,,,
PL01260119,PL20260322,,SI,,,OZ001,3
PL01260120,MR0501025,1,SI,,,,
PL01260120,MR0301019,2,SI,,,,
PL01260120,CP0104005,1,SI,,,,
PL01260120,MR0704004,1,SI,,,,
PL01260120,MR0501045,0.35,SI,,,,
PL01260120,MR01250905,1,SI,,,,
PL01260120,SUBR045238,,SI,,,PORCION,1
PL01260121,CP0104005,1,SI,,,,
PL01260121,MR0502004,0.07,SI,,,,
PL01260121,MR0704004,0.18,SI,,,,
PL01260121,MR01250905,1,SI,,,,
PL01260121,PL20260304,,SI,,,OZ001,2
PL01260121,PL20260315,,SI,,,PORCION,0.5
PL01260121,PL20260404,,SI,,,OZ001,0.07
PL01260121,SUBR045238,,SI,,,PORCION,1
PL01260122,CP0104005,1,SI,,,,
PL01260122,MR01250905,1,SI,,,,
PL01260122,PL20260323,1,SI,,,,
PL01260122,PL20260326,,SI,,,OZ001,0.18
PL01260122,SUBR045238,,SI,,,PORCION,1
PL01260125,MR0801001,8,SI,,,,
PL01260125,PL20260103,,SI,,,OZ001,3
PL01260125,PL20260322,,SI,,,OZ001,3
PL01260125,PL20260401,,SI,,,OZ001,2
PL01260125,PL20260321,,SI,,,PORCION,0.5
PL01260128,PL20260328,,SI,,,PORCION,1
PL01260128,CP0200014,,SI,,,OZ001,2
PL01260128,SUBR045238,,SI,,,PORCION,1
PL01260129,MR0301019,2,SI,,,,
PL01260129,PL20260328,,SI,,,PORCION,1
PL01260129,SUBR045238,,SI,,,PORCION,1
PL01260130,MR0301019,2,SI,,,,
PL01260130,CP01251101,1,SI,,,,
PL01260130,SUBR045238,,SI,,,PORCION,1
PL01260131,MR0101003,4,SI,,,,
PL01260131,MR0301019,2,SI,,,,
PL01260131,SUBR045238,,SI,,,PORCION,1
PL01260132,PL20251003,,SI,,,PORCION,1
PL01260309,MR0501004,0.71,SI,,,,
PL01260309,MR0501008,1,SI,,,,
PL01260309,MR0501016,1,SI,,,,
PL01260309,CP0104006,0.5,SI,,,,
PL01260309,MR01260101,3,SI,,,,
PL01260309,PL20260303,,SI,,,OZ001,1
PL01260309,PL20260308,,SI,,,OZ001,0.6
PL01260309,PL20260304,,SI,,,OZ001,1.5
PL01260309,SUBR045231,,SI,,,OZ001,3
PL01260310,MR0522034,1,SI,,,,
PL01260310,MR0522039,4.5,SI,,,,
PL01260310,PL20260307,,SI,,,PORCION,1
PL01260310,SUBR045233,,SI,,,PORCION,1
PL01260310,MR0305033,1,SI,,,,
PL01260310,MR0301003,0.02,SI,,,,
PL01260310,PL20260407,,SI,,,OZ001,0.5
PL01260310,MR0704022,0.2,SI,,,,
PL01260310,MR0502008,0.1,SI,,,,
PL01260310,MR0501059,0.1,SI,,,,
PL01260316,MR0601003,0.5,SI,,,,
PL01260316,MR0501001,0.53,SI,,,,
PL01260316,MR0302004,0.07,SI,,,,
PL01260316,MR0501036,0.53,SI,,,,
PL01260316,MR0302044,0.07,SI,,,,
PL01260316,MR02251103,4,SI,,,,
PL01260316,MR01260310,0.5,SI,,,,
PL01260316,PL20260308,,SI,,,OZ001,0.53
PL01260316,PL20260309,,SI,,,OZ001,0.35
PL01260316,PL20260311,,SI,,,OZ001,8
PL01260316,PL20260312,,SI,,,OZ001,0.71
PL01260317,MR0522034,1,SI,,,,
PL01260317,PL20250866,,SI,,,OZ001,10
PL01260317,PL20260315,,SI,,,PORCION,1
PL01260317,PL20260320,,SI,,,OZ001,4
PL0522018,MR0502003,2,SI,,,,
PL0522018,MR0501029,2,SI,,,,
PL0522018,MR0603006,2,SI,,,,
PL0522018,MR0602002,3,SI,,,,
PL0522018,CP0200014,,SI,,,OZ001,2
PL0522018,PL20251002,,SI,,,PORCION,1
PL0620009,MR0502002,0.71,SI,,,,
PL0620009,MR0801006,4,SI,,,,
PL0620009,MR0704022,1,SI,,,,
PL0620009,MR0522034,1,SI,,,,
PL0620009,PL20250866,,SI,,,OZ001,10
PL0620009,PL20250868,,SI,,,OZ001,1
PL0620009,PL20250921,,SI,,,OZ001,4
PL0701020,CP03250901,,SI,,,UNIDAD,1
PL0701020,MR0302033,1,SI,,,,
PL0701020,MR0501012,0.5,SI,,,,
PL07250903,MR0501012,1,SI,,,,
PL07250903,MR04250903,2,SI,,,,
PL07250903,CP03250902,,SI,,,UNIDAD,1
PL07250903,MR0302067,1,SI,,,,
PL07251201,MR14260400,0.5,SI,,,,
PL07251201,CP0200016,,SI,,,OZ001,1
PL07251201,PL20251106,,SI,,,OZ001,0.35
PL07251201,PL20251217,,SI,,,PORCION,1
PL07251201,PL20260402,,SI,,,OZ001,2
PL07251202,MR0302067,2,SI,,,,
PL07251202,PL20251219,,SI,,,PORCION,1
PL07251202,PL20260402,,SI,,,OZ001,1.5
PL07251203,PR2022020,,SI,,,OZ001,1.5
PL07251203,PL20251218,,SI,,,OZ001,1
PL07251203,PL20251221,,SI,,,PORCION,1
PL07251203,PL20251222,,SI,,,OZ001,0.5
PL07260301,MR0302027,0.494,SI,,,,
PL07260301,MR0701001,2.187,SI,,,,
PL07260301,MR0522003,0.071,SI,,,,
PL07260301,MR01260309,0.5,SI,,,,
PL07260301,PL20260305,,SI,,,UNIDAD,1
PL07260301,PL20260306,,SI,,,OZ001,0.106
PL0922062,MR1102009,1,SI,,,,
PL0922062,MR1201003,2,SI,,,,
PL0922062,MR0502006,0.18,SI,,,,
PL0922062,PT0301001,5,SI,,,,
PL0922062,MR01250826,1,SI,,,,
PL12250858,PRD100070,,SI,,,UNIDAD,0.5
PL12251102,CP0102001,8,SI,,,,
PL12251102,PL20260308,,SI,,,OZ001,0.5
PL12251102,PL20260304,,SI,,,OZ001,6
PL12251102,PL20260405,,SI,,,OZ001,4
PL12251102,MR0502008,0.5,SI,,,,
PL12251103,MR0304006,0.04,SI,,,,
PL12251103,MR0302021,0.04,SI,,,,
PL12251103,MR01251107,1,SI,,,,
PL12251103,MR02251103,2,SI,,,,
PL12251103,CP0200008,,SI,,,OZ001,0.5
PL12251103,PL20260304,,SI,,,OZ001,2
PL12251103,PL20260313,,SI,,,OZ001,1
PL12251103,PL20260314,,SI,,,OZ001,1
PL12251104,MR0501006,0.5,SI,,,,
PL12251104,MR0302004,0.5,SI,,,,
PL12251104,MR01251107,1.7,SI,,,,
PL12251104,PL20251109,,SI,,,OZ001,0.5
PL12251104,PL20260318,,SI,,,OZ001,0.2
PL12251201,PL20260316,,SI,,,PORCION,1
PL12251201,PL20260317,,SI,,,OZ001,2
PL12251201,MR0502008,0.5,SI,,,,
PL12260303,MR0302005,0.5,SI,,,,
PL12260303,MR0301003,0.2,SI,,,,
